source;target;value
6936;14207;401
6936;14209;425
6936;14210;405
6936;14211;402
6936;14214;409
6936;14215;429
6936;14217;410
6936;14224;438
6936;14229;409
6936;14231;429
6936;14246;418
6936;14255;408
6936;14257;425
6936;14264;431
6936;14265;445
6936;14267;404
6936;14275;416
6936;14277;435
6936;14278;410
6936;14279;425
6936;14284;401
6936;14285;425
6936;14289;404
6936;14400;424
6936;14401;417
6936;14423;408
6936;14430;418
6936;14433;416
6936;14434;434
6936;14435;420
6936;14440;428
6936;14442;422
6936;14443;410
6936;14445;423
6936;14458;436
6936;14463;413
7333;7343;408
7333;13010;402
7343;7824;433
7343;8010;428
7343;8032;404
7343;8080;403
7343;8564;427
7343;8672;425
7343;8866;415
7343;9017;403
7343;9551;436
7343;10391;448
7343;10421;415
7343;10463;462
7343;10500;404
7343;10540;451
7343;10566;404
7343;10577;408
7343;10582;411
7343;10583;429
7343;10599;407
7343;10601;406
7343;10602;442
7343;10609;428
7343;10613;465
7343;10620;454
7343;10621;427
7343;10703;440
7343;10705;422
7343;10716;415
7343;10723;416
7343;10726;442
7343;10732;437
7343;10733;468
7343;10756;459
7343;10760;408
7343;10768;407
7343;10783;414
7343;10784;403
7343;11014;433
7343;11023;401
7343;11054;420
7343;11067;429
7343;12000;434
7343;12004;465
7343;12014;418
7343;12027;460
7343;12030;422
7343;12035;428
7343;12036;419
7343;12038;409
7343;12044;441
7343;13010;470
7343;13013;427
7343;13024;417
7343;13026;414
7343;13027;401
7343;13040;402
7343;13048;403
7343;14005;405
7343;14016;407
7343;14027;435
7343;14029;422
7343;14039;431
7343;14046;406
7343;14051;405
7343;14055;430
7343;14058;431
7343;14067;415
7343;14072;412
7343;14075;404
7343;14202;406
7343;14203;431
7343;14204;445
7343;14206;459
7343;14207;422
7343;14208;403
7343;14209;427
7343;14210;405
7343;14211;432
7343;14214;422
7343;14215;441
7343;14217;416
7343;14222;402
7343;14224;448
7343;14229;435
7343;14231;452
7343;14233;405
7343;14241;407
7343;14244;410
7343;14246;429
7343;14248;409
7343;14250;420
7343;14255;423
7343;14257;419
7343;14264;441
7343;14265;462
7343;14266;406
7343;14267;417
7343;14274;428
7343;14275;423
7343;14277;428
7343;14278;437
7343;14279;425
7343;14282;407
7343;14284;435
7343;14285;457
7343;14286;418
7343;14289;414
7343;14400;459
7343;14401;440
7343;14402;430
7343;14406;428
7343;14412;410
7343;14413;420
7343;14421;421
7343;14423;445
7343;14425;411
7343;14430;438
7343;14433;432
7343;14434;417
7343;14435;432
7343;14439;401
7343;14440;442
7343;14441;405
7343;14443;434
7343;14444;412
7343;14445;433
7343;14448;423
7343;14451;408
7343;14457;423
7343;14458;444
7343;14460;416
7343;14463;411
7343;14464;407
7343;14465;430
7343;13032;427
7671;10517;406
7671;10706;410
7671;10719;401
7671;10773;401
7671;14010;406
7671;14045;433
7671;14239;405
7671;14276;413
7671;14411;403
7671;14432;406
7824;8010;460
7824;9623;409
7824;10391;408
7824;10421;460
7824;10463;423
7824;10511;402
7824;10540;427
7824;10551;408
7824;10566;412
7824;10577;433
7824;10583;455
7824;10609;414
7824;10613;426
7824;10621;423
7824;10703;406
7824;10705;454
7824;10726;417
7824;10732;423
7824;10733;421
7824;10756;439
7824;10760;445
7824;10768;431
7824;10784;404
7824;11014;408
7824;11054;435
7824;12004;429
7824;12008;406
7824;12025;403
7824;12027;405
7824;12030;441
7824;12036;440
7824;12044;407
7824;13010;454
7824;13011;423
7824;13013;462
7824;13024;413
7824;13031;404
7824;13035;415
7824;13040;435
7824;14008;409
7824;14022;423
7824;14027;427
7824;14029;442
7824;14039;443
7824;14051;426
7824;14053;409
7824;14055;469
7824;14203;419
7824;14204;421
7824;14205;407
7824;14206;451
7824;14207;438
7824;14209;463
7824;14210;436
7824;14211;450
7824;14214;442
7824;14215;451
7824;14217;439
7824;14224;444
7824;14229;419
7824;14231;453
7824;14244;424
7824;14246;422
7824;14248;404
7824;14254;437
7824;14255;422
7824;14256;430
7824;14257;429
7824;14258;413
7824;14263;404
7824;14264;436
7824;14265;471
7824;14266;407
7824;14267;426
7824;14269;414
7824;14274;426
7824;14275;441
7824;14277;463
7824;14278;429
7824;14279;459
7824;14280;407
7824;14281;410
7824;14282;410
7824;14284;431
7824;14285;410
7824;14289;414
7824;14400;426
7824;14401;448
7824;14406;419
7824;14407;425
7824;14421;412
7824;14423;429
7824;14430;454
7824;14431;423
7824;14433;424
7824;14434;401
7824;14435;455
7824;14440;441
7824;14443;422
7824;14444;401
7824;14445;442
7824;14458;463
7824;14460;415
7824;14463;442
8010;9322;403
8010;9623;407
8010;10391;406
8010;10421;453
8010;10463;424
8010;10500;414
8010;10511;408
8010;10540;446
8010;10551;423
8010;10566;417
8010;10577;428
8010;10583;450
8010;10609;432
8010;10613;440
8010;10620;409
8010;10621;427
8010;10703;410
8010;10705;463
8010;10726;422
8010;10732;426
8010;10733;428
8010;10756;442
8010;10760;448
8010;10768;445
8010;10784;416
8010;11014;405
8010;11054;442
8010;12004;437
8010;12008;408
8010;12027;413
8010;12030;447
8010;12036;427
8010;12044;421
8010;13010;455
8010;13011;425
8010;13013;458
8010;13024;404
8010;13031;412
8010;13035;422
8010;13040;447
8010;14008;417
8010;14022;419
8010;14027;423
8010;14029;444
8010;14039;460
8010;14051;423
8010;14053;409
8010;14055;467
8010;14203;413
8010;14204;425
8010;14206;455
8010;14207;437
8010;14209;457
8010;14210;430
8010;14211;444
8010;14214;451
8010;14215;439
8010;14217;440
8010;14224;441
8010;14229;428
8010;14231;446
8010;14244;416
8010;14246;420
8010;14248;410
8010;14253;403
8010;14254;427
8010;14255;435
8010;14256;431
8010;14257;439
8010;14258;410
8010;14263;412
8010;14264;448
8010;14265;474
8010;14267;436
8010;14269;411
8010;14274;419
8010;14275;440
8010;14277;473
8010;14278;430
8010;14279;451
8010;14280;415
8010;14282;415
8010;14284;420
8010;14285;418
8010;14289;427
8010;14400;435
8010;14401;451
8010;14405;404
8010;14406;414
8010;14407;419
8010;14421;409
8010;14423;423
8010;14430;456
8010;14431;422
8010;14433;425
8010;14434;413
8010;14435;459
8010;14440;442
8010;14443;421
8010;14445;440
8010;14458;461
8010;14460;415
8010;14463;442
8032;10733;412
8032;10783;411
8032;12027;409
8032;14045;410
8032;14206;408
8032;14233;405
8032;14274;407
8032;14284;402
8032;14423;414
8032;14424;410
8032;14464;402
8080;12004;401
8080;14285;420
8507;10783;411
8507;11023;402
8507;11037;403
8507;14005;404
8507;14237;403
8507;14251;414
8507;14427;413
8564;10463;411
8564;10602;401
8564;10613;411
8564;10620;408
8564;10703;413
8564;10726;404
8564;10733;410
8564;10756;408
8564;10783;405
8564;11067;418
8564;12000;403
8564;12004;406
8564;12014;409
8564;12027;410
8564;12035;405
8564;12038;401
8564;12044;403
8564;13010;419
8564;14055;402
8564;14206;421
8564;14215;406
8564;14265;420
8564;14285;410
8564;14400;407
8564;14406;403
8564;14448;406
8672;10391;406
8672;10463;409
8672;10613;414
8672;10723;403
8672;10726;414
8672;10732;401
8672;10733;412
8672;10756;428
8672;12004;419
8672;12027;411
8672;12044;407
8672;13010;429
8672;14027;405
8672;14029;401
8672;14039;404
8672;14203;406
8672;14206;415
8672;14209;401
8672;14224;417
8672;14231;408
8672;14257;408
8672;14264;408
8672;14265;427
8672;14277;405
8672;14285;417
8672;14400;403
8672;14423;412
8672;14435;406
8672;14445;405
8672;14458;404
8866;10446;401
8866;10463;407
8866;10716;404
8866;10733;405
8866;10783;409
8866;11023;411
8866;12000;406
8866;12004;409
8866;12027;401
8866;13010;410
8866;14005;404
9017;10783;403
9017;11000;404
9017;14038;403
9322;10583;401
9322;12030;408
9322;13010;409
9322;14055;409
9322;14206;403
9322;14209;409
9322;14265;424
9322;14277;409
9322;14435;405
9322;14440;402
9322;14458;403
9551;10391;430
9551;10463;420
9551;10540;418
9551;10582;402
9551;10583;410
9551;10602;410
9551;10613;421
9551;10620;413
9551;10621;405
9551;10705;405
9551;10726;426
9551;10732;401
9551;10733;429
9551;10756;436
9551;12000;415
9551;12004;443
9551;12027;432
9551;12036;406
9551;13010;444
9551;14027;406
9551;14206;425
9551;14215;430
9551;14224;421
9551;14231;412
9551;14246;404
9551;14257;406
9551;14264;412
9551;14265;429
9551;14275;402
9551;14277;409
9551;14279;402
9551;14284;402
9551;14285;417
9551;14400;422
9551;14401;412
9551;14423;404
9551;14440;409
9551;14445;412
9551;14458;406
9623;10421;411
9623;10583;401
9623;10705;404
9623;10760;404
9623;13013;408
9623;14039;410
9623;14055;413
9623;14206;412
9623;14209;411
9623;14211;402
9623;14215;401
9623;14231;401
9623;14265;419
9623;14277;418
9623;14279;409
9623;14401;408
9623;14430;407
9623;14435;409
9623;14440;401
9623;14458;409
9802;10719;424
9802;12011;401
9802;13036;409
9802;14259;407
9802;14276;402
9802;14456;414
10075;10783;405
10075;14005;423
10075;14427;409
